ScenarioGroup,PVPenetrationPercent,IrradianceCondition,ControlStrategy,TimeIndex,Time_h,Bus,LocalVoltage_pu,Pavailable_kW,Poutput_kW,Pcurtailed_kW,Qoutput_kVAr,Qlimit_kVAr,VoltVARActive,VoltWattActive,BothActive
stress,120,stress_clear_sky,hybrid_pso,11,10,31,1.01651932565115,743,510.866241580861,232.133758419139,-256.490371877047,637.96157659615,1,1,1
stress,120,stress_clear_sky,hybrid_pso,11,10,32,1.01684768032814,817.3,550.001267738594,267.298732261406,-303.772737717776,711.163515927202,1,1,1
stress,120,stress_clear_sky,hybrid_pso,11,10,33,1.01686646254389,891.6,597.092727495076,294.507272504924,-336.955379146099,778.055558666918,1,1,1
stress,120,stress_clear_sky,hybrid_pso,12,11,18,1.01198885890955,594.4,523.481842441,70.9181575590001,-31.8138605970173,391.756947908491,0,1,0
stress,120,stress_clear_sky,hybrid_pso,12,11,30,1.01375317411987,743,582.086996232631,160.913003767368,-138.906411693456,573.719460029789,1,1,1
stress,120,stress_clear_sky,hybrid_pso,12,11,31,1.01620037624331,743,509.205109696649,233.794890303351,-261.030060609335,639.2882341001,1,1,1
stress,120,stress_clear_sky,hybrid_pso,12,11,32,1.01650709433265,817.3,548.358814474116,268.941185525884,-308.52522359206,712.430734519885,1,1,1
stress,120,stress_clear_sky,hybrid_pso,12,11,33,1.01650839455569,891.6,595.504404077163,296.095595922837,-341.870108711624,779.271892425681,1,1,1
stress,120,stress_clear_sky,hybrid_pso,13,12,18,1.0119449088746,594.4,522.016305958882,72.3836940411179,-34.3861578881801,393.707660470358,0,1,0
stress,120,stress_clear_sky,hybrid_pso,13,12,30,1.01361284985589,743,580.610090561563,162.389909438436,-142.285652161905,575.214058188856,1,1,1
stress,120,stress_clear_sky,hybrid_pso,13,12,31,1.01600585889732,743,508.180734299193,234.819265700807,-263.921043092818,640.10282868234,1,1,1
stress,120,stress_clear_sky,hybrid_pso,13,12,32,1.01629904686737,817.3,547.353787671483,269.946212328517,-311.545608178044,713.203177237512,1,1,1
stress,120,stress_clear_sky,hybrid_pso,13,12,33,1.01628935877833,891.6,594.54184986734,297.05815013266,-344.989964816823,780.006516867853,1,1,1
stress,120,stress_clear_sky,hybrid_pso,14,13,18,1.0119449088746,594.4,522.016305958882,72.3836940411179,-34.3861578881801,393.707660470358,0,1,0
stress,120,stress_clear_sky,hybrid_pso,14,13,30,1.01361284985589,743,580.610090561563,162.389909438436,-142.285652161905,575.214058188856,1,1,1
stress,120,stress_clear_sky,hybrid_pso,14,13,31,1.01600585889732,743,508.180734299193,234.819265700807,-263.921043092818,640.10282868234,1,1,1
stress,120,stress_clear_sky,hybrid_pso,14,13,32,1.01629904686737,817.3,547.353787671483,269.946212328517,-311.545608178044,713.203177237512,1,1,1
stress,120,stress_clear_sky,hybrid_pso,14,13,33,1.01628935877833,891.6,594.54184986734,297.05815013266,-344.989964816823,780.006516867853,1,1,1
stress,120,stress_clear_sky,hybrid_pso,15,14,18,1.01198885890955,594.4,523.481842441,70.9181575590001,-31.8138605970173,391.756947908491,0,1,0
stress,120,stress_clear_sky,hybrid_pso,15,14,30,1.01375317411987,743,582.086996232631,160.913003767368,-138.906411693456,573.719460029789,1,1,1
stress,120,stress_clear_sky,hybrid_pso,15,14,31,1.01620037624331,743,509.205109696649,233.794890303351,-261.030060609335,639.2882341001,1,1,1
stress,120,stress_clear_sky,hybrid_pso,15,14,32,1.01650709433265,817.3,548.358814474116,268.941185525884,-308.52522359206,712.430734519885,1,1,1
stress,120,stress_clear_sky,hybrid_pso,15,14,33,1.01650839455569,891.6,595.504404077163,296.095595922837,-341.870108711624,779.271892425681,1,1,1
stress,120,stress_clear_sky,hybrid_pso,16,15,30,1.0125611675667,507.483955384258,464.24261408911,43.241341295148,-3.40812059345305,672.65004665406,1,1,1
stress,120,stress_clear_sky,hybrid_pso,16,15,31,1.01565971644335,507.483955384258,411.820059508925,95.6638958753333,-128.091096794974,705.962837963916,1,1,1
stress,120,stress_clear_sky,hybrid_pso,16,15,32,1.01619045930135,558.232350922684,443.119464113264,115.11288680942,-165.647063868297,782.240424309543,1,1,1
stress,120,stress_clear_sky,hybrid_pso,16,15,33,1.01643083881247,608.980746461109,478.51022467267,130.47052178844,-193.069117050556,856.106385026832,1,1,1
stress,120,stress_clear_sky,hybrid_pso,17,16,31,1.01213956195192,346.621756355924,322.051013937461,24.5707424184633,-0.38664745535582,751.174037372068,0,1,0
stress,120,stress_clear_sky,hybrid_pso,17,16,32,1.01291772693327,381.283931991516,344.421942630001,36.861989361515,-20.9346967775131,830.43871919304,1,1,1
stress,120,stress_clear_sky,hybrid_pso,17,16,33,1.01340214990981,415.946107627109,369.04233568257,46.9037719445389,-47.8803988113929,908.679223969577,1,1,1
stress,150,stress_clear_sky,voltwatt,9,8,32,1.03085669073695,476.604914989395,469.157871731624,7.44704325777116,0,1021.17052275734,0,1,0
stress,150,stress_clear_sky,voltwatt,9,8,33,1.03176210707823,519.932634533886,503.774520091676,16.1581144422098,0,1117.6603399094,0,1,0
stress,150,stress_clear_sky,voltwatt,10,9,30,1.03497049659368,634.354944230322,577.252770455072,57.1021737752502,0,842.909769564302,0,1,0
stress,150,stress_clear_sky,voltwatt,10,9,31,1.0422110295897,634.354944230322,494.947681124424,139.407263105898,0,893.725032420238,0,1,0
stress,150,stress_clear_sky,voltwatt,10,9,32,1.04379844358192,697.790438653354,524.583216872859,173.207221780496,0,993.836401894987,0,1,0
stress,150,stress_clear_sky,voltwatt,10,9,33,1.04480511652249,761.225933076387,558.534118816209,202.691814260177,0,1091.32627596801,0,1,0
stress,150,stress_clear_sky,voltwatt,11,10,18,1.03585707774244,743,664.675877323999,78.3241226760007,0,475.589390234446,0,1,0
stress,150,stress_clear_sky,voltwatt,11,10,30,1.04483754652838,928.75,680.381156028512,248.368843971488,0,762.101780044047,0,1,0
stress,150,stress_clear_sky,voltwatt,11,10,31,1.05282509249006,928.75,547.165202707118,381.584797292881,0,862.744389475515,0,1,0
stress,150,stress_clear_sky,voltwatt,11,10,32,1.05456135115347,1021.625,570.058614467946,451.566385532054,0,968.468647518925,0,1,0
stress,150,stress_clear_sky,voltwatt,11,10,33,1.0556433132622,1114.5,600.2488889217,514.251111078299,0,1068.95026724739,0,1,0
stress,150,stress_clear_sky,voltwatt,12,11,18,1.03611054612579,743,661.286056286027,81.7139437139732,0,480.291621581799,0,1,0
stress,150,stress_clear_sky,voltwatt,12,11,30,1.04500207857146,928.75,677.629268217215,251.120731782785,0,764.549681499117,0,1,0
stress,150,stress_clear_sky,voltwatt,12,11,31,1.05297037874776,928.75,544.733289204128,384.016710795872,0,864.281947201173,0,1,0
stress,150,stress_clear_sky,voltwatt,12,11,32,1.05470238999782,1021.625,567.467474909042,454.157525090958,0,969.989180391517,0,1,0
stress,150,stress_clear_sky,voltwatt,12,11,33,1.05578046290477,1114.5,597.499142997048,517.000857002952,0,1070.48969010346,0,1,0
stress,150,stress_clear_sky,voltwatt,13,12,18,1.03627417089366,743,659.097781732919,83.9022182670814,0,483.290186238813,0,1,0
stress,150,stress_clear_sky,voltwatt,13,12,30,1.0451082845305,928.75,675.852098711152,252.897901288848,0,766.121127037188,0,1,0
stress,150,stress_clear_sky,voltwatt,13,12,31,1.05306417129067,928.75,543.166317366452,385.583682633548,0,865.267584220955,0,1,0
stress,150,stress_clear_sky,voltwatt,13,12,32,1.0547934381406,1021.625,565.7936017724,455.8313982276,0,970.966500632059,0,1,0
stress,150,stress_clear_sky,voltwatt,13,12,33,1.05586899911117,1114.5,595.723004165303,518.776995834697,0,1071.47912009906,0,1,0
stress,150,stress_clear_sky,voltwatt,14,13,18,1.03627417089366,743,659.097781732919,83.9022182670814,0,483.290186238813,0,1,0
stress,150,stress_clear_sky,voltwatt,14,13,30,1.0451082845305,928.75,675.852098711152,252.897901288848,0,766.121127037188,0,1,0
stress,150,stress_clear_sky,voltwatt,14,13,31,1.05306417129067,928.75,543.166317366452,385.583682633548,0,865.267584220955,0,1,0
stress,150,stress_clear_sky,voltwatt,14,13,32,1.0547934381406,1021.625,565.7936017724,455.8313982276,0,970.966500632059,0,1,0
stress,150,stress_clear_sky,voltwatt,14,13,33,1.05586899911117,1114.5,595.723004165303,518.776995834697,0,1071.47912009906,0,1,0
stress,150,stress_clear_sky,voltwatt,15,14,18,1.03611054612579,743,661.286056286027,81.7139437139732,0,480.291621581799,0,1,0
stress,150,stress_clear_sky,voltwatt,15,14,30,1.04500207857146,928.75,677.629268217215,251.120731782785,0,764.549681499117,0,1,0
stress,150,stress_clear_sky,voltwatt,15,14,31,1.05297037874776,928.75,544.733289204128,384.016710795872,0,864.281947201173,0,1,0
stress,150,stress_clear_sky,voltwatt,15,14,32,1.05470238999782,1021.625,567.467474909042,454.157525090958,0,969.989180391517,0,1,0
stress,150,stress_clear_sky,voltwatt,15,14,33,1.05578046290477,1114.5,597.499142997048,517.000857002952,0,1070.48969010346,0,1,0
stress,150,stress_clear_sky,voltwatt,16,15,30,1.03518651542072,634.354944230322,574.788993420392,59.5659508099304,0,844.591767463887,0,1,0
stress,150,stress_clear_sky,voltwatt,16,15,31,1.04240936583871,634.354944230322,492.682842978813,141.67210125151,0,894.975562157601,0,1,0
stress,150,stress_clear_sky,voltwatt,16,15,32,1.04399283144005,697.790438653354,522.140827971944,175.649610681411,0,995.121751807799,0,1,0
stress,150,stress_clear_sky,voltwatt,16,15,33,1.0449957717773,761.225933076387,555.920314122437,205.30561895395,0,1092.66006005803,0,1,0
stress,150,stress_clear_sky,voltwatt,17,16,32,1.03109080476483,476.604914989395,467.197705758251,9.40720923114386,0,1022.06880829545,0,1,0
stress,150,stress_clear_sky,voltwatt,17,16,33,1.03199280185972,519.932634533886,501.574667118478,18.3579674154079,0,1118.6492997383,0,1,0
stress,150,stress_clear_sky,hybrid,10,9,31,1.03133776158223,634.354944230322,618.812205009094,15.5427392212284,-230.025242238539,812.889350131236,1,1,1
stress,150,stress_clear_sky,hybrid,10,9,32,1.0322359069773,697.790438653354,669.416504563998,28.3739340893567,-275.655372766285,902.651587587132,1,1,1
stress,150,stress_clear_sky,hybrid,10,9,33,1.03259941029492,761.225933076387,725.248748237709,35.9771848386772,-310.866890041748,988.416741905779,1,1,1
stress,150,stress_clear_sky,hybrid,11,10,18,1.03050089725768,743,736.131032174456,6.86896782554364,-92.9480536398702,355.092091533689,1,1,1
stress,150,stress_clear_sky,hybrid,11,10,30,1.03504360773385,928.75,844.107220553357,84.642779446643,-216.161185221986,575.500339560879,1,1,1
stress,150,stress_clear_sky,hybrid,11,10,31,1.04026197198288,928.75,757.015145143319,171.734854856681,-347.102831282435,686.036231294412,1,1,1
stress,150,stress_clear_sky,hybrid,11,10,32,1.04113080527841,1021.625,816.728879511882,204.896120488117,-407.348327848136,771.914686042127,1,1,1
stress,150,stress_clear_sky,hybrid,11,10,33,1.04137023457708,1114.5,886.121115266549,228.37888473345,-452.209977229785,847.197008716843,1,1,1
stress,150,stress_clear_sky,hybrid,12,11,18,1.03065921925229,743,734.028139110595,8.97186088940462,-95.5298534949115,359.418949130171,1,1,1
stress,150,stress_clear_sky,hybrid,12,11,30,1.03514767878024,928.75,842.36844734553,86.3815526544699,-218.622082696706,578.042420192222,1,1,1
stress,150,stress_clear_sky,hybrid,12,11,31,1.04033616348754,928.75,755.775719807941,172.974280192059,-349.071142374144,687.401412548584,1,1,1
stress,150,stress_clear_sky,hybrid,12,11,32,1.04119769727895,1021.625,815.499783878936,206.125216121064,-409.329220943356,773.21306743333,1,1,1
stress,150,stress_clear_sky,hybrid,12,11,33,1.04143027054282,1114.5,884.917870462765,229.582129537234,-454.15701054963,848.453749497074,1,1,1
stress,150,stress_clear_sky,hybrid,13,12,18,1.03076123869004,743,732.672088562137,10.3279114378635,-97.2015010185943,362.175234716562,1,1,1
stress,150,stress_clear_sky,hybrid,13,12,30,1.03521483059857,928.75,841.246564830122,87.5034351698778,-220.213631650568,579.673923673059,1,1,1
stress,150,stress_clear_sky,hybrid,13,12,31,1.04038403240953,928.75,754.976039444356,173.773960555644,-350.342464805805,688.279609235894,1,1,1
stress,150,stress_clear_sky,hybrid,13,12,32,1.04124085559071,1021.625,814.706773701773,206.918226298227,-410.608439473341,774.048588940448,1,1,1
stress,150,stress_clear_sky,hybrid,13,12,33,1.04146900374974,1114.5,884.141564571954,230.358435428045,-455.41418743186,849.262678030923,1,1,1
stress,150,stress_clear_sky,hybrid,14,13,18,1.03076123869004,743,732.672088562137,10.3279114378635,-97.2015010185943,362.175234716562,1,1,1
stress,150,stress_clear_sky,hybrid,14,13,30,1.03521483059857,928.75,841.246564830122,87.5034351698778,-220.213631650568,579.673923673059,1,1,1
