PVPenetrationPercent,ControlStrategy,Time_h,LoadMultiplier,Irradiance,MinVoltage,MaxVoltage,MeanAbsVoltageDeviation,ActiveLoss_kW,VoltageViolationCount,PVCurtailment_kW,ReactivePower_kVAr
120,voltvar,7,0.527808874421146,0.226097548585906,0.975101398249499,1,0.0132898166580954,24.1606636130921,0,0,55.6148759059607
120,voltvar,8,0.524795793307557,0.466516495768404,0.991378100325734,1.01865517045681,0.00566420475327851,49.5658295983461,0,0,0
120,voltvar,9,0.519603088401661,0.683020128377198,0.997215155380141,1.02934090170711,0.00663794190774939,144.078716894345,0,0,-499.996472638434
120,voltvar,10,0.512529042302071,1,0.997763290877364,1.05028629945121,0.0168409080070039,353.002737231385,1,0,-1046.90326626305
120,voltvar,11,0.505305990015821,1,0.997818100493814,1.05051910812147,0.0170527863207742,354.835331401857,1,0,-1058.26421245842
120,voltvar,12,0.50064182377663,1,0.997853482444647,1.05066971981517,0.0171893757422426,356.024897922996,1,0,-1065.6123272284
120,voltvar,13,0.50064182377663,1,0.997853482444647,1.05066971981517,0.0171893757422426,356.024897922996,1,0,-1065.6123272284
120,voltvar,14,0.505305990015821,1,0.997818100493814,1.05051910812147,0.0170527863207742,354.835331401857,1,0,-1058.26421245842
120,voltvar,15,0.512529042302071,0.683020128377198,0.997268962460944,1.02950386611083,0.00685200246954417,145.275052079124,0,0,-512.344174811438
120,voltvar,16,0.519603088401661,0.466516495768404,0.991815718780841,1.01904723299562,0.0055667772342565,49.5258497022046,0,0,0
120,voltvar,17,0.524795793307557,0.226097548585906,0.975265419459942,1,0.0131687497737505,23.9249199964296,0,0,53.4503803479197
120,voltvar,18,0.527808874421146,3.13914904970333e-18,0.967003489547713,1,0.0198187767570646,38.8503706905121,0,0,698.402463454381
120,voltvar,19,0.529224034259796,0,0.966941696375538,1,0.0198554512254125,39.0643804974849,0,0,702.027829460647
120,voltvar,20,0.52976885719901,0,0.966917903754772,1,0.0198695722119915,39.1469876214002,0,0,703.423696534268
120,voltvar,21,0.529942086375913,0,0.966910338440765,1,0.0198740622446965,39.1732780680034,0,0,703.86753529449
120,voltvar,22,0.529987794834851,0,0.966908342221256,1,0.0198752470057704,39.1802171163187,0,0,703.984648398551
120,voltvar,23,0.529997836439101,0,0.966907903674105,1,0.0198755072845485,39.1817416555956,0,0,704.010376824568
120,voltwatt,0,0.529999959541694,0,0.951085657374924,1,0.0278886723859942,55.0616476711541,0,0,0
120,voltwatt,1,0.52999967740537,0,0.951085684563017,1,0.0278886569359285,55.0615867645848,0,0,0
120,voltwatt,2,0.529997836439101,0,0.951085861967872,1,0.0278885561228019,55.0611893443371,0,0,0
120,voltwatt,3,0.529987794834851,0,0.951086829626831,1,0.0278880062351836,55.0590216312241,0,0,0
