PVPenetrationPercent,IrradianceCondition,ControlStrategy,MeanAbsVoltageDeviation,MaxAbsVoltageDeviation,MinVoltage,MaxVoltage,VoltageViolationCount,TotalActiveLoss_kWh,MeanActiveLoss_kW,PVCurtailment_kWh,ResponseSettlingSteps,ResponseSettlingHours
50,clear_sky,voltvar,0.0251696521993593,0.055060578263061,0.944939421736939,1,41,1599.59767534262,66.6499031392759,0,4,4
50,clear_sky,voltwatt,0.0329629978301261,0.0905749016228277,0.909425098377172,1,199,2198.27219892711,91.5946749552964,0,9,9
50,clear_sky,hybrid,0.0251696521993593,0.055060578263061,0.944939421736939,1,41,1599.59767534262,66.6499031392759,0,4,4
50,clear_sky,hybrid_pso,0.0187963606136963,0.0487272390711809,0.951272760928819,1,0,1472.50438916176,61.3543495484065,0,0,0
50,partial_cloud,none,0.0341482796251755,0.0905749016228277,0.909425098377172,1,200,2247.55529805404,93.6481374189181,0,9,9
50,partial_cloud,voltvar,0.0258721850969343,0.055060578263061,0.944939421736939,1,41,1603.40560978128,66.8085670742199,0,4,4
50,partial_cloud,voltwatt,0.0341482796251755,0.0905749016228277,0.909425098377172,1,200,2247.55529805404,93.6481374189181,0,9,9
50,partial_cloud,hybrid,0.0258721850969343,0.055060578263061,0.944939421736939,1,41,1603.40560978128,66.8085670742199,0,4,4
50,partial_cloud,hybrid_pso,0.0192152883062944,0.0487272390711809,0.951272760928819,1,0,1483.20555993396,61.8002316639151,0,0,0
50,low_irradiance,none,0.0371973537671062,0.0905749016228277,0.909425098377172,1,258,2479.0517970172,103.293824875717,0,11,11
50,low_irradiance,voltvar,0.0275074926904707,0.055060578263061,0.944939421736939,1,43,1736.97662578918,72.3740260745491,0,5,5
50,low_irradiance,voltwatt,0.0371973537671062,0.0905749016228277,0.909425098377172,1,258,2479.0517970172,103.293824875717,0,11,11
50,low_irradiance,hybrid,0.0275074926904707,0.055060578263061,0.944939421736939,1,43,1736.97662578918,72.3740260745491,0,5,5
50,low_irradiance,hybrid_pso,0.0204999578707581,0.0487272390711809,0.951272760928819,1,0,1690.00881680037,70.4170340333487,0,0,0
80,clear_sky,none,0.0289251337368591,0.0905749016228277,0.909425098377172,1.01455651670986,179,2143.16897623967,89.2987073433197,0,8,8
80,clear_sky,voltvar,0.0202763548945852,0.0488037992526444,0.951196200747356,1.01455651670986,0,1593.47855809253,66.394939920522,0,0,0
80,clear_sky,voltwatt,0.0289251337368591,0.0905749016228277,0.909425098377172,1.01455651670986,179,2143.16897623967,89.2987073433197,0,8,8
80,clear_sky,hybrid,0.0202763548945852,0.0488037992526444,0.951196200747356,1.01455651670986,0,1593.47855809253,66.394939920522,0,0,0
80,clear_sky,hybrid_pso,0.0130959162028043,0.0349402364144481,0.965059763585552,1.0124532305328,0,1682.49006461981,70.1037526924919,68.3165657312203,0,0
80,partial_cloud,none,0.0304424854544894,0.0905749016228277,0.909425098377172,1.00855641365599,179,2119.42949412744,88.3095622553101,0,8,8
80,partial_cloud,voltvar,0.0215321623156044,0.0488037992526444,0.951196200747356,1.00855641365599,0,1538.69462791063,64.1122761629431,0,0,0
80,partial_cloud,voltwatt,0.0304424854544894,0.0905749016228277,0.909425098377172,1.00855641365599,179,2119.42949412744,88.3095622553101,0,8,8
80,partial_cloud,hybrid,0.0215321623156044,0.0488037992526444,0.951196200747356,1.00855641365599,0,1538.69462791063,64.1122761629431,0,0,0
80,partial_cloud,hybrid_pso,0.0136732442524538,0.0349402364144481,0.965059763585552,1.00999247542437,0,1594.08782929477,66.4203262206155,0,0,0
80,low_irradiance,none,0.0350931208510321,0.0905749016228277,0.909425098377172,1,212,2311.93779692006,96.330741538336,0,9,9
80,low_irradiance,voltvar,0.0241674271086655,0.0488037992526444,0.951196200747356,1,0,1579.96960642935,65.8320669345564,0,0,0
80,low_irradiance,voltwatt,0.0350931208510321,0.0905749016228277,0.909425098377172,1,212,2311.93779692006,96.330741538336,0,9,9
80,low_irradiance,hybrid,0.0241674271086655,0.0488037992526444,0.951196200747356,1,0,1579.96960642935,65.8320669345564,0,0,0
80,low_irradiance,hybrid_pso,0.0153810503943038,0.0349402364144481,0.965059763585552,1,0,1739.67850370125,72.4866043208855,0,0,0
